,costOfRevenue,date,operatingExpenses,revenue,sym,Open,OpenDate
19,4926307000.0,2019-11-01,1573669000.0,6991393000.0,DG,210.0,2020-10-30
18,4884879000.0,2020-01-31,1551888000.0,7157642000.0,DG,191.05428605167936,2020-07-31
17,5852757000.0,2020-05-01,1728908000.0000005,8448449000.0,DG,173.59303695856826,2020-05-01
16,5866006000.0,2020-07-31,1775607999.9999993,8684241000.0,DG,156.1275601724816,2020-01-31
15,5631385000.0,2020-10-30,1795110000.0,8199625000.0,DG,160.20124084224372,2019-11-01
24,4041700000.0,2019-11-02,1346100000.0000005,5746200000.0,DLTR,91.52999877929688,2020-11-02
23,4354800000.0,2020-02-01,1711099999.9999995,6315300000.0,DLTR,94.01000213623047,2020-08-03
22,4491900000.0,2020-05-02,1429000000.0,6286800000.0,DLTR,76.94000244140625,2020-05-04
21,4361400000.0,2020-08-01,1541300000.0000002,6277600000.0,DLTR,87.55999755859375,2020-02-03
20,4252000000.0,2020-10-31,1458000000.0,6177000000.0,DLTR,112.05999755859375,2019-11-04
4,2775000000.0,2019-11-02,1637000000.0,4625000000.0,KSS,21.479999542236328,2020-11-02
3,4400000000.0,2020-02-01,2031000000.0,6832000000.0,KSS,19.020000457763672,2020-08-03
2,1600000000.0,2020-05-02,1546000000.0,2428000000.0,KSS,16.989999771118164,2020-05-04
1,2149000000.0,2020-08-01,1140000000.0,3407000000.0,KSS,41.33877049431765,2020-02-03
0,2424000000.0,2020-10-31,1302000000.0,3979000000.0,KSS,50.45152981150868,2019-11-04
14,3106000000.0,2019-11-02,2210000000.0,5356000000.0,M,6.21999979019165,2020-11-02
13,5266000000.0,2020-02-01,2828000000.0,8577000000.0,M,6.099999904632568,2020-08-03
12,2501000000.0,2020-05-02,4766000000.0,3148000000.0,M,5.130000114440918,2020-05-04
11,2718000000.0,2020-08-01,1678000000.0,3727000000.0,M,15.35309610018738,2020-02-03
10,2569000000.0,2020-10-31,-1726000000.0,195000000.0,M,14.758555120268257,2019-11-04
9,12935000000.0,2019-11-02,4728000000.0,18665000000.0,TGT,153.36603116216548,2020-11-02
8,17056000000.0,2020-02-01,5145000000.0,23399000000.0,TGT,125.35953862930143,2020-08-03
7,14510000000.0,2020-05-02,4637000000.0,19615000000.0,TGT,106.29455293862358,2020-05-04
6,15673000000.0,2020-08-01,5002000000.0,22975000000.0,TGT,108.9374516180084,2020-02-03
5,963000000.0,2020-10-31,587000000.0,3017000000.0,TGT,105.72283033781798,2019-11-04
